"Procedure_ID,Procedure_Name,Primary_Department,Secondary_Department,Duration_Minutes,Complexity_Level"
"PROC001,Appendectomy,General Surgery,,120,High"
"PROC002,Cardiac Catheterization,Cardiology,,90,High"
"PROC003,Lumbar Puncture,Neurology,,45,Medium"
"PROC004,Tonsillectomy,ENT,,60,Medium"
"PROC005,Knee Replacement,Orthopedics,,180,High"
"PROC006,Cesarean Section,Gynaecology,,75,High"
"PROC007,Pediatric Vaccination,Pediatrics,,15,Low"
"PROC008,Endoscopy,Internal Medicine,,30,Medium"
"PROC009,Physical Therapy Session,Physiotherapy,,60,Low"
"PROC010,Rhinoplasty,Plastic Surgery,ENT,120,High"
"PROC011,Gallbladder Surgery,General Surgery,,90,High"
"PROC012,Angioplasty,Cardiology,,120,High"
"PROC013,Brain MRI,Neurology,,45,Medium"
"PROC014,Ear Tube Insertion,ENT,Pediatrics,30,Medium"
"PROC015,Hip Replacement,Orthopedics,,150,High"
"PROC016,Hysterectomy,Gynaecology,,120,High"
"PROC017,Newborn Screening,Pediatrics,,20,Low"
"PROC018,Bronchoscopy,Internal Medicine,,45,Medium"
"PROC019,Joint Mobilization,Physiotherapy,,45,Medium"
"PROC020,Breast Reconstruction,Plastic Surgery,,180,High"
"PROC021,Hernia Repair,General Surgery,,90,Medium"
"PROC022,Pacemaker Insertion,Cardiology,,150,High"
"PROC023,EEG Test,Neurology,,60,Low"
"PROC024,Sinus Surgery,ENT,,75,Medium"
"PROC025,Arthroscopy,Orthopedics,,75,Medium"
"PROC026,Ovarian Cyst Removal,Gynaecology,,60,Medium"
"PROC027,Pediatric Surgery,Pediatrics,General Surgery,90,High"
"PROC028,Colonoscopy,Internal Medicine,,45,Medium"
"PROC029,Muscle Strengthening,Physiotherapy,,45,Low"
"PROC030,Liposuction,Plastic Surgery,,120,Medium"
"PROC031,Cholecystectomy,General Surgery,,75,High"
"PROC032,Stress Test,Cardiology,,60,Medium"
"PROC033,Nerve Conduction Study,Neurology,,45,Medium"
"PROC034,Adenoidectomy,ENT,Pediatrics,45,Medium"
"PROC035,Spinal Fusion,Orthopedics,,240,High"
"PROC036,Tubal Ligation,Gynaecology,,45,Medium"
"PROC037,Immunization,Pediatrics,,10,Low"
"PROC038,Biopsy,Internal Medicine,,30,Medium"
"PROC039,Gait Training,Physiotherapy,,45,Medium"
"PROC040,Facelift,Plastic Surgery,,150,High"
"PROC041,Bowel Resection,General Surgery,,180,High"
"PROC042,Echocardiogram,Cardiology,,30,Low"
"PROC043,Stroke Rehabilitation,Neurology,Physiotherapy,60,Medium"
"PROC044,Hearing Test,ENT,,30,Low"
"PROC045,Fracture Reduction,Orthopedics,,60,Medium"
"PROC046,Fertility Treatment,Gynaecology,,45,Medium"
"PROC047,Child Development Assessment,Pediatrics,,45,Medium"
"PROC048,Diabetes Management,Internal Medicine,,30,Low"
"PROC049,Pain Management,Physiotherapy,Neurology,45,Medium"
"PROC050,Cosmetic Consultation,Plastic Surgery,,30,Low"
